city,mhhi,revtotal,exputility,expdebtservice,exptransportation,expgov,exppubsafety,expother,exptotal,pcrevtotal,pcexputility,pcexpdebt,pcexptransportation,pcexpgov,pcexppubsafety,pcexpother,pcexptotal,citypop,latitude,longitude,pop11,pop12,tarea,popden10,mhhi12,poverty12,hs12,crinc11,crinc12,mage12
ABERDEEN,35281,9530654,2439403,375386,722811,806947,4614712,899328,9858587,1467,376,58,111,124,711,138,1518,6495,35.138489,-79.427696,6102,6311,8.63,746.200012,34026,12.2,87.099998,345,380,38.700001
AHOSKIE,27038,11880994,4240045,1217534,481631,1150360,2823581,2465122,12378273,2433,868,249,99,236,578,505,2535,4883,36.286442,-76.986427,5064,5074,4.31,1170.199951,27344,28.700001,71.400002,330,303,38.5
ALAMANCE,84250,700481,215894,0,13377,116582,2000,61744,409597,718,221,0,14,120,2,63,420,975,36.027672,-79.488861,848,807,0.76,1260.300049,84432,3.5,91.300003,,,43.299999
ALBEMARLE,34391,55730524,36198104,2004846,1061280,1493541,6208346,7422505,54388622,3476,2258,125,66,93,387,463,3393,16032,35.35836,-80.195259,15919,15913,16.879999,949.900024,34059,21.700001,77.099998,882,1032,37.799999
ALLIANCE,45240,65163,0,0,32642,25120,6600,38586,102948,84,0,0,42,32,9,50,133,774,35.143131,-76.815331,1014,888,2.09,372,45588,10.2,82.400002,,,39.700001
ANGIER,43004,6341566,1168078,348538,671017,584698,887674,757000,4417005,1411,260,78,149,130,197,168,983,4495,35.508591,-78.737488,4239,4349,2.94,1496,43368,11.4,81.099998,176,,35.299999
APEX,86782,80802880,35325076,3196457,3887164,4464490,14614298,8422328,69909813,2088,913,83,100,115,378,218,1807,38691,35.731949,-78.852867,36049,37589,15.43,2437.899902,89398,2.1,96.099998,616,590,34
ARAPAHOE,36250,22302,0,0,4591,12457,0,1000,18048,40,0,0,8,22,0,2,32,562,35.025909,-76.828857,480,466,2.17,256.100006,41875,14.8,85.300003,,,47.900002
ARCHDALE,50743,13082178,2410712,1530503,951322,3303193,2324826,1874417,12394973,1130,208,132,82,285,201,162,1071,11576,35.903999,-79.96608,11060,11205,8.24,1389.800049,51332,9.6,83,363,301,40
ARCHER LODGE,61125,925736,0,27265,77,191232,175248,5699,399521,211,0,6,0,44,40,1,91,4393,35.69389,-78.375832,4178,4271,9.31,462.600006,56316,7.3,84.900002,,,33.099998
